"numero_brigada","municipio_candidato","Latitud","Longitud"
1,"Angel Albino Corzo",15.7635533994629,-92.6862127285276
2,"Arriaga",16.2505068426941,-93.8997317866195
3,"Cintalapa",16.7456520156214,-93.8409728241595
4,"Osumacinta",16.8958128945892,-93.0888819655137
5,"Totolapa",16.5113006840377,-92.6333180455186
6,"Villa Corzo",16.1439818758059,-93.2626649374382
