Semana.,Estado,Municipio,Posible causa,Tipo vegetación,Área natural protegida,Clasificación primer orden,Superficie,Total días / persona,Tipo de atención,Latitud,Longitud
53,Chiapas,Arriaga,Desconocidas,Selva Baja Caducifolia,La Sepultura,Impacto Moderado,381.267,187,Combate,16.247942,-93.85958
53,Chiapas,Arriaga,Desconocidas,Selva Baja Caducifolia,,Impacto Moderado,12.2852,27,Combate,16.270306,-93.878136
52,Chiapas,Arriaga,Desconocidas,Selva Baja Caducifolia,,Impacto Mínimo,44.46,43,Combate,16.24196,-93.97847
52,Chiapas,Tonalá,Desconocidas,Selva Baja Caducifolia,Sistema Estuarino Puerto Arista,Impacto Mínimo,1.7513,8,Combate,15.904583,-93.643616
51,Chiapas,Villa comaltitlán,Cazadores,Tular,La Encrucijada,Impacto Moderado,177.5109,27,Monitoreo,15.1035,-92.72016
49,Chiapas,Arriaga,Desconocidas,Selva Baja Caducifolia,,Impacto Mínimo,2.3499,16,Combate,16.217659,-94.04567
49,Chiapas,Pijijiapan,Desconocidas,Selva Baja Caducifolia,,Impacto Mínimo,19.6135,14,Monitoreo,15.815114,-93.28569
49,Chiapas,Tonalá,Desconocidas,Selva Mediana Subperennifolia,Sistema Estuarino Puerto Arista,Impacto Mínimo,1.0865,24,Combate,15.873128,-93.64873
31,Chiapas,Ocosingo,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,137.5327,1,Monitoreo,16.752539,-91.726456
30,Chiapas,Villa corzo,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,9.7245,1,Monitoreo,16.011372,-93.345085
30,Chiapas,Villa corzo,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,7.8986,1,Monitoreo,16.02365,-93.0569
30,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,6.2112,1,Monitoreo,16.024525,-93.09887
30,Chiapas,Arriaga,Desconocidas,Sabanoide,La Sepultura,Impacto Moderado,30.0246,3,Monitoreo,16.305305,-93.82872
30,Chiapas,Villa corzo,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Moderado,2.933,1,Monitoreo,16.003736,-93.33197
30,Chiapas,Chicomuselo,Naturales,Bosque de Pino-Encino,,Impacto Mínimo,28.184,34,Combate,15.786834,-92.450935
30,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,239.1073,1,Monitoreo,15.987923,-93.06724
30,Chiapas,Tapalapa,Desconocidas,Bosque Mesófilo de Montaña,,Impacto Mínimo,2.1246,19,Combate,17.18175,-93.08997
30,Chiapas,La concordia,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,17.3294,1,Monitoreo,15.961288,-92.97371
30,Chiapas,Villa corzo,Actividades agrícolas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,130.3399,40,Combate,16.02111,-93.134445
29,Chiapas,Ángel albino corzo,Desconocidas,Bosque de Pino-Encino,,Impacto Moderado,38.659,1,Monitoreo,15.866022,-92.63836
29,Chiapas,Jiquipilas,Desconocidas,Bosque de Encino,,Impacto Moderado,14.9286,1,Monitoreo,16.592466,-93.58118
29,Chiapas,Villa corzo,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Moderado,13.2833,1,Monitoreo,16.011448,-93.0366
29,Chiapas,La concordia,Desconocidas,Bosque de Encino-Pino,La Concordia Zaragoza,Impacto Mínimo,12.9571,1,Monitoreo,16.038692,-92.73537
29,Chiapas,Jiquipilas,Desconocidas,Bosque de Pino,,Impacto Moderado,11.3716,1,Monitoreo,16.369747,-93.76444
28,Chiapas,Ángel albino corzo,Desconocidas,Bosque de Pino,,Impacto Mínimo,5.9629,1,Monitoreo,15.849214,-92.64183
28,Chiapas,Ángel albino corzo,Desconocidas,Bosque de Pino-Encino,,Impacto Moderado,39.9675,1,Monitoreo,15.850586,-92.63399
28,Chiapas,Villa corzo,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Moderado,38.4443,1,Monitoreo,16.002234,-93.34326
28,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,37.6903,1,Monitoreo,16.051147,-93.119965
28,Chiapas,Villa corzo,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Moderado,24.9787,1,Monitoreo,16.015678,-93.029564
28,Chiapas,La concordia,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,12.8115,1,Monitoreo,15.96333,-93.00477
27,Chiapas,La concordia,Desconocidas,Bosque de Encino,La Concordia Zaragoza,Impacto Mínimo,6.6864,1,Monitoreo,16.042028,-92.73292
27,Chiapas,La concordia,Desconocidas,Bosque de Pino-Encino,La Concordia Zaragoza,Impacto Mínimo,25.8875,1,Monitoreo,15.961586,-92.59243
26,Chiapas,La concordia,Desconocidas,Bosque de Encino-Pino,La Concordia Zaragoza,Impacto Mínimo,159.8241,1,Monitoreo,16.029453,-92.74074
