Semana.,Estado,Municipio,Posible causa,Tipo vegetación,Área natural protegida,Clasificación primer orden,Superficie,Total días / persona,Tipo de atención,Latitud,Longitud
26,Chiapas,Ocosingo,Intencional,Selva Alta Perennifolia,Lacan-Tun,Impacto Severo,309.1529,88,Combate,16.419683,-90.77801
26,Chiapas,Marqués de comillas,Actividades agrícolas,Selva Alta Perennifolia,,Impacto Moderado,179.7168,194,Combate,16.1604,-90.798355
26,Chiapas,Mezcalapa,Intencional,Selva Alta Subperennifolia,,Impacto Mínimo,17.1246,19,Combate,17.315027,-93.60375
25,Chiapas,Ángel albino corzo,Actividades pecuarias,Bosque de Encino-Pino,,Impacto Mínimo,97.8011,446,Combate,15.828083,-92.74665
25,Chiapas,Ocosingo,Actividades agrícolas,Bosque de Pino-Encino,,Impacto Moderado,7.1474,23,Combate,16.88581,-91.713196
25,Chiapas,La concordia,Actividades pecuarias,Bosque de Encino-Pino,,Impacto Mínimo,4.1256,134,Combate,15.8609915,-92.76878
25,Chiapas,Ocosingo,Actividades agrícolas,Selva Alta Perennifolia,Montes Azules,Impacto Severo,38.9861,53,Combate,16.338556,-91.130684
25,Chiapas,Villaflores,Naturales,Bosque de Pino-Encino,,Impacto Mínimo,34.3097,72,Combate,16.305225,-93.3348
25,Chiapas,Ocozocoautla de espinosa,Desconocidas,Selva Mediana Subperennifolia,Selva El Ocote,Impacto Moderado,2.9834,68,Combate,16.911583,-93.47085
25,Chiapas,Ocosingo,Naturales,Selva Alta Perennifolia,Lacan-Tun,Impacto Moderado,2.3202,38,Combate,16.661882,-91.01457
25,Chiapas,Ocozocoautla de espinosa,Naturales,Selva Alta Perennifolia,Selva El Ocote,Impacto Severo,2.317,13,Monitoreo,17.020441,-93.71332
25,Chiapas,Simojovel,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,20.8599,130,Combate,17.103594,-92.65898
25,Chiapas,Ocozocoautla de espinosa,Naturales,Selva Alta Perennifolia,Selva El Ocote,Impacto Severo,1.5059,14,Monitoreo,17.027153,-93.66631
25,Chiapas,Ocosingo,Actividades agrícolas,Selva Alta Perennifolia,Montes Azules,Impacto Severo,116.1099,215,Combate,16.397297,-91.237114
25,Chiapas,Las margaritas,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,11.3068,155,Combate,16.2809,-91.828354
