Semana.,Estado,Municipio,Posible causa,Tipo vegetación,Área natural protegida,Clasificación primer orden,Superficie,Total días / persona,Tipo de atención,Latitud,Longitud
53,Chiapas,Pijijiapan,Desconocidas,Selva Alta Perennifolia,,Impacto Moderado,611.3853,1,Monitoreo,15.8526,-93.33396
51,Chiapas,Arriaga,Desconocidas,Sabanoide,La Sepultura,Impacto Mínimo,449.6644,38,Combate,16.248083,-93.89689
50,Chiapas,Villa corzo,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,45.0667,26,Combate,16.120016,-93.071335
49,Chiapas,Villa comaltitlán,Cazadores,Tular,La Encrucijada,Impacto Mínimo,891.6337,14,Combate,15.049373,-92.710014
48,Chiapas,Villa comaltitlán,Cazadores,Tular,La Encrucijada,Impacto Mínimo,43.0745,8,Combate,15.123161,-92.71772
32,Chiapas,Chicoasén,Desconocidas,Bosque de Encino,,Impacto Mínimo,119.3567,1,Monitoreo,16.961397,-93.14582
24,Chiapas,Salto de agua,Desconocidas,Selva Alta Perennifolia,,Impacto Moderado,90.7253,10,Combate,17.373083,-92.036255
24,Chiapas,Huixtán,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,8.3066,89,Combate,16.699972,-92.44001
24,Chiapas,Palenque,Actividades agrícolas,Selva Alta Perennifolia,,Impacto Severo,742.3875,895,Combate,17.353294,-91.659004
24,Chiapas,Cintalapa,Actividades agrícolas,Selva Mediana Subperennifolia,Selva El Ocote,Impacto Moderado,579.2603,64,Combate,17.008081,-93.82383
24,Chiapas,Palenque,Actividades agrícolas,Selva Alta Perennifolia,,Impacto Severo,531.1404,1193,Combate,17.309723,-91.55046
24,Chiapas,Ocosingo,Actividades pecuarias,Selva Alta Perennifolia,,Impacto Severo,529.5999,10,Combate,16.650545,-91.54059
24,Chiapas,Tila,Desconocidas,Selva Alta Perennifolia,,Impacto Severo,507.1561,1,Monitoreo,17.49036,-92.58391
24,Chiapas,El bosque,Desconocidas,Bosque Mesófilo de Montaña,,Impacto Moderado,424.0717,1,Monitoreo,17.036112,-92.67694
24,Chiapas,Las margaritas,Actividades agrícolas,Selva Alta Perennifolia,,Impacto Severo,38.3929,261,Combate,16.317106,-91.55002
24,Chiapas,La concordia,Actividades agrícolas,Bosque de Pino-Encino,,Impacto Mínimo,329.3117,20,Combate,16.051603,-92.91194
24,Chiapas,Villa corzo,Actividades pecuarias,Bosque de Encino-Pino,La Sepultura,Impacto Moderado,325.1003,118,Combate,16.187878,-93.535164
24,Chiapas,Berriozábal,Actividades agrícolas,Selva Alta Perennifolia,La Pera,Impacto Severo,217.9553,116,Combate,16.905941,-93.32753
24,Chiapas,Villaflores,Actividades pecuarias,Bosque de Encino-Pino,La Sepultura,Impacto Moderado,196.5072,145,Combate,16.240084,-93.564804
24,Chiapas,Tila,Desconocidas,Selva Alta Perennifolia,,Impacto Severo,149.0494,1,Monitoreo,17.464064,-92.622314
24,Chiapas,Ocosingo,Actividades agrícolas,Selva Alta Perennifolia,,Impacto Severo,146.073,250,Combate,17.04004,-91.57372
24,Chiapas,Palenque,Actividades agrícolas,Selva Alta Perennifolia,,Impacto Severo,1311.1285,207,Combate,17.400948,-91.599815
24,Chiapas,Salto de agua,Desconocidas,Selva Alta Perennifolia,,Impacto Severo,116.9029,1,Monitoreo,17.277647,-91.958916
24,Chiapas,Benemérito de las américas,Actividades pecuarias,Selva Alta Perennifolia,,Impacto Severo,1104.4349,174,Combate,16.345083,-90.58805
24,Chiapas,Ocosingo,Desconocidas,Selva Mediana Subperennifolia,,Impacto Moderado,104.2151,157,Combate,17.049633,-91.75185
23,Chiapas,Jitotol,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,9.4072,5,Monitoreo,17.098085,-92.86756
23,Chiapas,Sabanilla,Desconocidas,Selva Alta Perennifolia,,Impacto Moderado,8.8371,1,Monitoreo,17.343433,-92.64012
23,Chiapas,Las margaritas,Desconocidas,Bosque de Pino,,Impacto Mínimo,775.1803,1,Monitoreo,16.412556,-91.81817
23,Chiapas,San cristóbal de las casas,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,6.2935,11,Combate,16.720278,-92.626114
23,Chiapas,La independencia,Desconocidas,Bosque de Pino,Lagunas de Montebello,Impacto Mínimo,627.9876,418,Combate,16.140076,-91.72185
23,Chiapas,Altamirano,Desconocidas,Bosque de Pino,,Impacto Mínimo,59.0174,1,Monitoreo,16.735617,-92.05295
23,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,536.1942,37,Combate,16.01764,-93.07706
23,Chiapas,Ocozocoautla de espinosa,Actividades agrícolas,Selva Mediana Subperennifolia,Selva El Ocote,Impacto Moderado,51.4969,70,Combate,17.051739,-93.75781
23,Chiapas,San cristóbal de las casas,Desconocidas,Bosque de Encino-Pino,Rancho Nuevo,Impacto Mínimo,50.5108,15,Combate,16.688631,-92.60594
23,Chiapas,Jitotol,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,45.1259,10,Combate,17.050144,-92.89145
23,Chiapas,Jitotol,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,40.3299,25,Combate,17.124445,-92.862305
23,Chiapas,La concordia,Desconocidas,Bosque de Pino-Encino,La Concordia Zaragoza,Impacto Mínimo,373.808,222,Combate,15.937697,-92.64373
23,Chiapas,Huitiupán,Desconocidas,Selva Alta Perennifolia,,Impacto Moderado,299.2612,1,Monitoreo,17.311605,-92.7111
23,Chiapas,La independencia,Desconocidas,Bosque de Pino,Lagunas de Montebello,Impacto Mínimo,286.5443,280,Combate,16.137531,-91.73726
23,Chiapas,Ixtapa,Desconocidas,Bosque de Pino,,Impacto Mínimo,260.5415,50,Combate,16.80346,-92.909325
23,Chiapas,Ixtapa,Fumadores,Bosque de Pino-Encino,,Impacto Moderado,25.1642,37,Combate,16.749262,-92.916336
23,Chiapas,Villaflores,Actividades pecuarias,Bosque de Encino-Pino,La Sepultura,Impacto Mínimo,173.2672,32,Combate,16.256472,-93.58742
23,Chiapas,Chicomuselo,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,15574.4728,20,Monitoreo,15.821225,-92.49939
23,Chiapas,Ocosingo,Actividades agrícolas,Selva Mediana Subcaducifolia,Montes Azules,Impacto Moderado,151.2413,121,Combate,16.47253,-91.31138
23,Chiapas,Las margaritas,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,1224.9389,1,Monitoreo,16.298988,-91.83912
23,Chiapas,Ixtapa,Desconocidas,Bosque de Pino-Encino,,Impacto Moderado,104.9138,20,Combate,16.766506,-92.88871
23,Chiapas,Tila,Desconocidas,Selva Alta Perennifolia,,Impacto Moderado,101.4343,1,Monitoreo,17.305222,-92.5604
22,Chiapas,Villaflores,Actividades pecuarias,Bosque de Encino-Pino,La Sepultura,Impacto Moderado,676.983,93,Combate,16.263779,-93.58542
22,Chiapas,Palenque,Desconocidas,Selva Alta Perennifolia,,Impacto Severo,6.2079,41,Combate,17.306484,-91.5744
22,Chiapas,Tonalá,Actividades pecuarias,Bosque de Pino-Encino,La Sepultura,Impacto Mínimo,182.5497,129,Combate,16.188139,-93.751335
