Semana.,Estado,Municipio,Posible causa,Tipo vegetación,Área natural protegida,Clasificación primer orden,Superficie,Total días / persona,Tipo de atención,Latitud,Longitud
28,Chiapas,La concordia,Desconocidas,Bosque de Pino,La Concordia Zaragoza,Impacto Mínimo,8.6126,76,Combate,15.972683,-92.72507
28,Chiapas,Chicomuselo,Actividades agrícolas,Bosque de Pino-Encino,,Impacto Mínimo,186.628,133,Combate,15.798589,-92.36898
28,Chiapas,Villa corzo,Actividades agrícolas,Bosque de Encino,La Sepultura,Impacto Mínimo,10.1639,13,Combate,16.142836,-93.57299
28,Chiapas,Arriaga,Actividades pecuarias,Bosque de Pino,,Impacto Mínimo,20,2,Combate,16.330364,-93.954834
27,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,,Impacto Mínimo,50,17,Combate,16.481972,-93.58847
27,Chiapas,La concordia,Desconocidas,Bosque de Pino,La Concordia Zaragoza,Impacto Mínimo,33.4823,26,Combate,16.008776,-92.745544
26,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,25,11,Combate,16.1825,-93.16361
26,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino,La Sepultura,Impacto Mínimo,25,10,Combate,16.427444,-93.95214
26,Chiapas,Las margaritas,Desconocidas,Bosque de Pino,,Impacto Mínimo,13.2981,28,Combate,16.308628,-91.880516
25,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Encino,La Sepultura,Impacto Mínimo,70,44,Combate,16.365862,-93.727196
25,Chiapas,Chicomuselo,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,30,11,Combate,15.79335,-92.3447
25,Chiapas,Villa comaltitlán,Cazadores,Tular,La Encrucijada,Impacto Mínimo,210,23,Combate,15.075358,-92.72615
24,Chiapas,Villa corzo,Desconocidas,Bosque Mesófilo de Montaña,El Triunfo,Impacto Mínimo,7,57,Combate,15.892136,-93.09567
23,Chiapas,La concordia,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,95.7812,52,Combate,15.958122,-92.98244
23,Chiapas,Villa corzo,Desconocidas,Bosque de Encino-Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,76,104,Combate,16.032722,-93.13942
23,Chiapas,Villa corzo,Actividades agrícolas,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,7.5735,31,Combate,16.0903,-93.482506
23,Chiapas,Jiquipilas,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,45.7997,40,Combate,16.421194,-93.63121
23,Chiapas,La concordia,Actividades agrícolas,Bosque de Pino-Encino,La Concordia Zaragoza,Impacto Mínimo,45.7413,92,Combate,15.945,-93.53445
23,Chiapas,Villaflores,Desconocidas,Bosque de Pino-Encino,La Sepultura,Impacto Mínimo,43.6475,42,Combate,16.277185,-93.604004
23,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,25.2009,46,Combate,15.9853,-93.079384
23,Chiapas,Soyaló,Actividades agrícolas,Bosque de Encino,,Impacto Mínimo,24.9,34,Combate,16.935862,-93.0387
23,Chiapas,La concordia,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,23.9482,19,Combate,15.963269,-92.97924
23,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,La Sepultura,Impacto Mínimo,23.7805,11,Combate,16.40611,-93.71272
23,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,,Impacto Mínimo,148.9863,27,Combate,16.511211,-93.60076
23,Chiapas,Jiquipilas,Intencional,Bosque de Pino,La Sepultura,Impacto Mínimo,14.09,33,Combate,16.336527,-93.75844
23,Chiapas,Villa comaltitlán,Cazadores,Tular,La Encrucijada,Impacto Mínimo,13,20,Combate,15.128195,-92.72975
23,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,,Impacto Mínimo,12.5908,27,Combate,16.553656,-93.606445
22,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino,La Sepultura,Impacto Mínimo,8.274,47,Combate,16.349861,-93.891716
22,Chiapas,El parral,Desconocidas,Bosque de Encino,,Impacto Mínimo,78.2274,19,Combate,16.275295,-93.048256
22,Chiapas,Cintalapa,Naturales,Bosque de Encino-Pino,,Impacto Mínimo,73.0661,35,Combate,16.727306,-93.965614
22,Chiapas,La concordia,Actividades agrícolas,Bosque de Pino-Encino,La Concordia Zaragoza,Impacto Mínimo,569.7048,44,Combate,16.016088,-92.65321
22,Chiapas,Villa corzo,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,51.051,37,Combate,16.013073,-93.02279
22,Chiapas,Tonalá,Desconocidas,Selva Mediana Subperennifolia,Sistema Estuarino Puerto Arista,Impacto Mínimo,45.9737,36,Combate,15.98362,-93.6837
22,Chiapas,Cintalapa,Naturales,Bosque de Encino-Pino,,Impacto Mínimo,380,163,Combate,16.705795,-93.99989
22,Chiapas,Arriaga,Actividades pecuarias,Sabanoide,La Sepultura,Impacto Mínimo,245.1858,21,Combate,16.263569,-93.820076
22,Chiapas,Tonalá,Desconocidas,Selva Mediana Subperennifolia,Sistema Estuarino Puerto Arista,Impacto Mínimo,24.3176,41,Combate,16.002142,-93.7075
22,Chiapas,Arriaga,Naturales,Bosque de Pino-Encino,La Sepultura,Impacto Mínimo,24.2562,58,Combate,16.269444,-93.78702
22,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Moderado,216.8583,132,Combate,15.974311,-93.05594
22,Chiapas,Benemérito de las américas,Actividades agrícolas,Bosque de Encino,,Impacto Mínimo,2,30,Combate,16.384695,-90.74022
22,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,,Impacto Mínimo,167.9551,187,Combate,16.459455,-93.63813
22,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,,Impacto Mínimo,1325.1192,283,Combate,16.439,-93.562
22,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,La Sepultura,Impacto Mínimo,1213.4763,436,Combate,16.467667,-93.859085
22,Chiapas,Chilón,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,0.4897,82,Combate,17.010914,-92.27209
21,Chiapas,La independencia,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,45.0603,15,Combate,16.209278,-91.80505
21,Chiapas,Siltepec,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,9.8787,104,Combate,15.587336,-92.34948
21,Chiapas,La trinitaria,Desconocidas,Bosque de Pino,,Impacto Mínimo,94.6504,15,Combate,16.194359,-91.83085
21,Chiapas,La concordia,Desconocidas,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,859.6187,192,Combate,15.887167,-92.99647
21,Chiapas,Cintalapa,Actividades agrícolas,Bosque de Encino,,Impacto Mínimo,603.9047,59,Combate,16.83303,-93.85834
21,Chiapas,Arriaga,Actividades agrícolas,Selva Mediana Subperennifolia,,Impacto Mínimo,561.0476,296,Combate,16.242119,-94.02311
21,Chiapas,Villa corzo,Desconocidas,Bosque de Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,54.8528,42,Combate,16.061666,-93.2325
21,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,,Impacto Mínimo,53.2474,10,Combate,16.540306,-93.61019
21,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino,La Sepultura,Impacto Mínimo,477.3233,161,Combate,16.435894,-93.85958
21,Chiapas,La independencia,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,4.5406,31,Combate,16.251627,-91.99756
21,Chiapas,Cintalapa,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,385.7606,53,Combate,16.84803,-93.94672
21,Chiapas,Las margaritas,Desconocidas,Bosque de Encino,,Impacto Mínimo,38.2723,15,Combate,16.282333,-91.88722
21,Chiapas,La independencia,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,37.9587,10,Combate,16.208998,-91.828316
21,Chiapas,Tonalá,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,35.1188,75,Combate,16.175158,-93.812195
21,Chiapas,La independencia,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,33.5638,34,Combate,16.196014,-91.80357
21,Chiapas,Pijijiapan,Actividades agrícolas,Selva Baja Caducifolia,,Impacto Mínimo,3.2874,19,Combate,15.687458,-93.18501
21,Chiapas,Zinacantán,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,3.0939,33,Combate,16.76607,-92.711876
21,Chiapas,Siltepec,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,27.6898,74,Combate,15.600744,-92.36632
21,Chiapas,Honduras de la sierra,Desconocidas,Bosque de Encino-Pino,Cordon Pico El Loro-Paxtal,Impacto Mínimo,24.6998,150,Combate,15.565458,-92.474655
21,Chiapas,La trinitaria,Desconocidas,Bosque de Pino,,Impacto Mínimo,2.2985,13,Combate,16.071325,-91.74452
21,Chiapas,La concordia,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,210.9188,96,Combate,16.085333,-92.779396
21,Chiapas,Jiquipilas,Actividades agrícolas,Bosque de Pino,,Impacto Mínimo,189.2898,22,Combate,16.418495,-93.737915
21,Chiapas,Villa comaltitlán,Cazadores,Tular,La Encrucijada,Impacto Mínimo,17,14,Combate,15.071028,-92.67539
21,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,La Sepultura,Impacto Mínimo,155.2096,74,Combate,16.338833,-93.74106
21,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino-Encino,La Sepultura,Impacto Mínimo,13.6487,31,Combate,16.387222,-93.68667
21,Chiapas,Villa corzo,Desconocidas,Selva Alta Perennifolia,El Triunfo,Impacto Mínimo,12,182,Combate,15.882167,-93.12339
21,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,10,55,Combate,15.985669,-92.95408
21,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino,La Sepultura,Impacto Mínimo,77.3824,108,Combate,16.373436,-93.88256
20,Chiapas,Cintalapa,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,93.6412,35,Combate,16.769491,-93.70975
20,Chiapas,Cintalapa,Actividades pecuarias,Bosque de Pino-Encino,,Impacto Mínimo,870.3993,429,Combate,16.865698,-93.96966
20,Chiapas,Pijijiapan,Desconocidas,Tular,La Encrucijada,Impacto Mínimo,607.7742,12,Monitoreo,15.4836445,-93.134605
20,Chiapas,Villaflores,Desconocidas,Bosque de Encino-Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Mínimo,564.3643,127,Combate,16.209438,-93.39363
20,Chiapas,Jiquipilas,Actividades pecuarias,Selva Mediana Subperennifolia,La Sepultura,Impacto Mínimo,5.2861,21,Combate,16.415922,-93.91784
20,Chiapas,Bella vista,Desconocidas,Bosque de Pino,,Impacto Mínimo,5,20,Combate,15.588883,-92.24846
